Gene	Annotation	Naive_p	Bonferroni_p	Sensitivity	Specificity
cdiA_3	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
fixB	Protein FixB	0.0013986013986014	1.0	100.0	100.0
group_5236	Electron transfer flavoprotein-ubiquinone oxidoreductase	0.0013986013986014	1.0	100.0	100.0
kipR	HTH-type transcriptional regulator KipR	0.0013986013986014	1.0	100.0	100.0
group_5135	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
group_5134	High-affinity branched-chain amino acid transport ATP-binding protein LivF	0.0013986013986014	1.0	100.0	100.0
group_5132	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
group_5131	Vitamin B12 import ATP-binding protein BtuD	0.0013986013986014	1.0	100.0	100.0
group_5130	Transcriptional activator protein AnoR	0.0013986013986014	1.0	100.0	100.0
yofA_2	HTH-type transcriptional regulator YofA	0.0013986013986014	1.0	100.0	100.0
group_5238	HTH-type transcriptional activator RhaS	0.0013986013986014	1.0	100.0	100.0
group_5124	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
group_5074	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
otnC	3-oxo-tetronate 4-phosphate decarboxylase	0.0013986013986014	1.0	100.0	100.0
group_4631	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
group_4630	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
group_4606	HTH-type transcriptional regulator GltC	0.0013986013986014	1.0	100.0	100.0
fixA	Protein FixA	0.0013986013986014	1.0	100.0	100.0
fixX	Ferredoxin-like protein FixX	0.0013986013986014	1.0	100.0	100.0
fadK	Medium-chain fatty-acid--CoA ligase	0.0013986013986014	1.0	100.0	100.0
group_4585	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
group_5103	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
group_4562	hypothetical protein	0.0013986013986014	1.0	100.0	100.0
ydiF	Acetate CoA-transferase YdiF	0.0013986013986014	1.0	100.0	100.0
ydiN	Inner membrane transport protein YdiN	0.0013986013986014	1.0	100.0	100.0
